75.0885272253;-69.4381137529
85.8201979234;-57.039837218
85.1847760311;-46.0369619027
84.1497758279;-28.8268342518
83.9062450117;-18.3989775013
83.7768633678;-5.3508862411
78.3565944381;7.4992103284
66.0695560734;13.0404594068
53.2702239408;16.6025510596
39.6744928724;18.4140109121
34.7783546921;18.5084042167
29.8084213202;18.3927491923
25.9407963554;17.8855911654
21.8879498065;15.8963510865
18.3871996451;12.7890332012
15.4379174208;10.413876051
12.8565426151;8.2188812031
10.0895652899;6.3933947696
7.5059451275;5.1188594869
5.2900768201;4.9477942527
2.9821566146;3.5762807774
2.244158873;2.2885292244
1.1366601969;0.8180569747
0;0
